id,name
22236,Б.Хмельницького-Опришківська
22237,Хмельницького Б.-Кукурудзяна
22238,Шевченка-Левандівська
22239,Липинського-Промислова
22240,Любінська-Окружна
22241,Коновальця-Київська
22242,Мазепи-Миколайчука
22243,Стрийська - В. Великого
22244,Вернадського-Червоної Калини
22245,Стрийська-Автовокзал
22246,Героїв УПА-Смаль-Стоцького
22247,Личаківська-Мучна
22248,Стрийська-Чмоли
22249,Стрийська-Франка І.
22250,"Виговського-""Південний"""
22251,Володимира Великого-Симоненка
22252,Левицького К.- Студентська
22253,Князя Романа-Франка І.
22254,Городоцька-Лепкого
22255,Князя Романа-Шухевича
22256,Володимира Великого-Сокіл
22257,Левандівська-Сяйво
22258,Бандери С.-Федьковича
22259,Городоцька-Гоголя
22260,Зелена-Дороша
22261,Кульпарківська-Трускавецька
22262,Антоновича-Мельника
22263,Зелена-Петрушевича
22264,Стрийська-Проектована №7
22265,Бандери С.-Антоновича
22266,Пекарська-Тершаківців
22267,Личаківська-Голинського
22268,Наукова-Тролейбусна
22269,700 річчя Львова
22271,Городоцька-Збиральна
22272,Липинського-Стеблиста
22273,Зелена-Керченська
22274,Підкови І.
22275,Любінська-Виговського
22276,Володимира Великого-Княгині Ольги
22310,Стрийська - Наукова 
22388,Пасічна-Пимоненка
22392,Річицька
22397,Менцинського-Григоренка
22401,Урочище Голоском
22402,Кульпарківська-Наукова
22405,Сяйво-Широка
22406,Личаківська-Чехова
22409,Антонича-Трильовського
22410,Володимира Великого-Стрийська
22412,Стрийська-Хуторівка
22413,Луганська
22416,Пасічна-Ярошинська
22418,Зелена-Івасюка
22421,Над Джерелом
22423,Роксоляни
22428,Пимоненка-Хлібна
22429,Курмановича генерала
22430,Шведська
22431,Замарстинівська-Мазепи
22432,Стрийська-Луганська
22433,Коновальця-Житомирська
22434,Зелена-Зубрівська
22435,Петрушевича Є.
22436,Півколо
22437,Шімзерів
22439,Городоцька-Виговського
22440,Бойчука-Айвазовського
22441,Сулими-Кондукторська
22442,Трускавецька-Підстригача
22443,Стрийський парк
22444,Грунтова
22446,Суботівська-Повітряна
22468,Чернівецька
22494,Хмельницького Б.-Липинського
22507,Марка Вовчка
22508,Валова-Галицька
22509,Хуторівка-Ч. Калини
22511,Словацького-Університетська
22513,Пасіки-Зубрицькі
22514,Кульпарківська-Сокільники
22515,В.Великого-Симоненка
22516,Сихівська-Ковалерідзе
22517,Виговського- 7-й Скнилівський провулок
22518,Городоцька-Леонтовича
22519,Замарстинівська 183-навпроти вул.Мазепи
22520,Петрушевича-Руставелі Ш.
22521,Сахарова-Гобачевського
22522,Чупринки Ген. - Ст. Бандери
22523,Зелена-Тарнавського
22524,Личаківська-Пасічна
22594,Університетська
22595,Мележа І.
22596,Зубрівська-Манастирського
22597,Поліська
22599,Пасічна-Вашингтона
22600,Широка-Низинна
22601,Гайдучка С.
22602,Черемшини-Банаха
22603,Судова
22604,Бібліотечна
22606,Куліша-Шпитальна
22607,Вернадського-Драгана
22608,Мирного П.-Тернопільська
22610,Кульпарківська-Антоновича
22611,Словацького--Крушельницької
22612,Моршинська - Чупринки
22614,Щурата-Леннона Дж.
22615,Митна
22616,Кринична
22617,Осмомисла-скверик
22618,Високий Замок
22620,Зелена-Сихів
22621,Чернеча Гора
22622,Пасічна-Китайська
22623,Коломийська-Червоної калини
22624,Водна-Базарна
22625,Ялинкова
22626,Фізкультурна
22627,Чернецького
22628,Личаківська-Яловець
22630,Замарстинівська-Голоско
22632,Вугільна
22633,Професорська
22635,Панаса В. сотника
22638,Литвиненка-Героїв Крут
22640,Наукова - Пулюя
22642,Мазепи-Орлика
22643,Бандери С. - Карпінського
22644,Франка-Саксаганського
22647,Городоцька-Шевченка
22648,Зелена-Студентська
22649,Куліша-Цехова
22651,Франка-Герцена
22653,Опришківська-Кордуби
22656,Городоцька-Фабрична
22658,Повітряна-Озерна
22659,Хуторівка-Хоткевича
22660,Володимира Великого-Янева
22661,Бойчука-Боткіна
22662,Університетська - Січ.Стрільців
22663,Чорновола - Різні
22664,Чупринки-Київська
22665,Замарстинівська-Гайдамацька
22666,Пасічна-Лисинецька
22667,Клепарів
22668,Володимира Великого-Наукова
22671,Пасічна-Таджицька
22673,Богданівська-Визвольна
22675,Гвардійська-Комаринця
22676,Мечнікова-Шимзерів
22677,Стрийська-Максимовича
22679,Пасічна (біля АЗС)
22681,Сахарова-Княгині Ольги
22682,Опришківська
22684,Краківська - Вірменська
22685,Хуторівка-Чукаріна
22689,"""Промінь Голоско"" СТ ОК"
22690,Виговського-Кульпарківська
22692,Волоська - Ш. Руставелі
22699,Галицьке перехрестя
22700,Бр.Рогатинців - Староєврейська
22714,Героїв УПА-пл.Липнева
22715,Міхновських-Степанівни
22716,Кульпарківська-Героїв УПА
22717,Антоновича-Опільського
22718,Ч.Калини - О.Довженка
22719,Пекарська-пл.Соборна
22720,Ксаверу Моцарту
22721,Мирного П.-Буйка
22723,пл.Петрушевича-вул.Ш.Руставелі
22724,Крушельницької-Каменярів
22725,Ковча-Винниця
22726,Промислова-Волинська
22727,Варшавська-Панча
22731,Збойська
22732,Кривчиці
22733,Тіверська
22760,Заповітна
22763,Фізична
22764,Бережанська - Хуторівка
22769,Чупринки
22770,Новоповітряна
22771,Сушка Р. - Скачівського
22793,Аеропорт ЦА
22795,Захисна
22796,Привокзальна
